lat;lon;X;Y;B1;B2;B3;B4;B5;B6;B7;B8;B8A;B9;B11;B12
6.053302982;-73.48212747;2416.0;1628.0;0.0148;0.0167;0.0497;0.0334;0.07970000000000001;0.21880000000000002;0.25520000000000004;0.2797;0.29760000000000003;0.3024;0.15430000000000002;0.0746
6.053302982;-73.45062747;2765.0;1627.0;0.0055000000000000005;0.012400000000000001;0.0425;0.0275;0.0811;0.2602;0.3054;0.34090000000000004;0.3422;0.341;0.16490000000000002;0.07390000000000001
6.059602982;-73.59552747;1161.0;1562.0;0.0414;0.0499;0.0752;0.08410000000000001;0.1562;0.2141;0.2374;0.24810000000000001;0.272;0.27090000000000003;0.298;0.19360000000000002
6.059602982;-73.58292747;1300.0;1562.0;0.0221;0.0327;0.056600000000000004;0.0509;0.0883;0.183;0.2114;0.2258;0.2411;0.2511;0.1826;0.09230000000000001
6.059602982;-73.57032747;1439.0;1561.0;0.015300000000000001;0.0165;0.036500000000000005;0.0227;0.0604;0.194;0.2534;0.2766;0.2751;0.2534;0.1331;0.0587
6.059602982;-73.55142747;1649.0;1561.0;0.0224;0.025500000000000002;0.0565;0.0397;0.11230000000000001;0.29450000000000004;0.3498;0.4056;0.38130000000000003;0.4409;0.21330000000000002;0.09820000000000001
6.059602982;-73.54512747;1718.0;1561.0;0.042100000000000005;0.07590000000000001;0.1091;0.1443;0.1631;0.23500000000000001;0.263;0.3007;0.30670000000000003;0.3244;0.36710000000000004;0.2359
6.059602982;-73.53882747;1788.0;1560.0;0.0264;0.028200000000000003;0.0601;0.0487;0.0946;0.21660000000000001;0.2651;0.2912;0.2948;0.2773;0.21130000000000002;0.12190000000000001
6.059602982;-73.53252747;1858.0;1560.0;0.0379;0.0409;0.0687;0.06720000000000001;0.11170000000000001;0.18580000000000002;0.21380000000000002;0.23220000000000002;0.248;0.2518;0.2807;0.1685
6.059602982;-73.52622747;1928.0;1560.0;0.019700000000000002;0.0308;0.0609;0.0485;0.0974;0.2323;0.2645;0.2948;0.3121;0.31520000000000004;0.22240000000000001;0.1178
6.059602982;-73.48212747;2416.0;1559.0;0.0177;0.012100000000000001;0.0317;0.0247;0.0565;0.2325;0.2701;0.25370000000000004;0.2846;0.3266;0.15960000000000002;0.07680000000000001
6.059602982;-73.47582747;2486.0;1558.0;0.0074;0.0081;0.030600000000000002;0.0196;0.0688;0.3003;0.3819;0.38230000000000003;0.41590000000000005;0.3013;0.16720000000000002;0.0695
6.059602982;-73.45692747;2695.0;1558.0;0.008700000000000001;0.0167;0.0465;0.0346;0.0809;0.20090000000000002;0.2388;0.23750000000000002;0.2607;0.2634;0.1552;0.0742
6.059602982;-73.45062747;2765.0;1558.0;0.008400000000000001;0.0164;0.0403;0.0349;0.0678;0.1719;0.2106;0.23820000000000002;0.24080000000000001;0.2645;0.1345;0.0631
6.065902982;-73.63332747;742.0;1493.0;0.0616;0.082;0.10890000000000001;0.0887;0.1486;0.3054;0.3664;0.368;0.4071;0.40040000000000003;0.281;0.16440000000000002
6.065902982;-73.62702747;812.0;1493.0;0.275;0.0577;0.0829;0.0663;0.1361;0.2853;0.3407;0.3402;0.3835;0.5367000000000001;0.2472;0.16820000000000002
6.065902982;-73.54512747;1718.0;1491.0;0.0244;0.0322;0.059300000000000005;0.0483;0.0881;0.22190000000000001;0.25320000000000004;0.2906;0.2892;0.3039;0.1678;0.081
6.065902982;-73.53882747;1788.0;1491.0;0.0296;0.0374;0.07050000000000001;0.055900000000000005;0.10450000000000001;0.2707;0.31570000000000004;0.33890000000000003;0.34740000000000004;0.3562;0.21330000000000002;0.1081
6.065902982;-73.53252747;1858.0;1491.0;0.029900000000000003;0.044000000000000004;0.0901;0.0845;0.1174;0.2159;0.2534;0.26940000000000003;0.2742;0.2621;0.2323;0.1403
6.065902982;-73.46952747;2555.0;1489.0;0.0181;0.040600000000000004;0.060000000000000005;0.061500000000000006;0.0941;0.1864;0.2179;0.1966;0.2331;0.2416;0.154;0.0954
6.065902982;-73.46322747;2625.0;1488.0;0.0234;0.018600000000000002;0.053700000000000005;0.0388;0.101;0.2625;0.32370000000000004;0.36660000000000004;0.3602;0.2675;0.19;0.0903
6.065902982;-73.45692747;2695.0;1488.0;0.0089;0.0148;0.0386;0.0258;0.0823;0.2111;0.2536;0.25730000000000003;0.2813;0.2786;0.15910000000000002;0.0738
6.072202982;-73.62702747;812.0;1424.0;0.0354;0.041600000000000005;0.07400000000000001;0.0621;0.1198;0.2853;0.3383;0.35600000000000004;0.3906;0.40280000000000005;0.22010000000000002;0.11
6.072202982;-73.61442747;951.0;1423.0;0.21880000000000002;0.3342;0.3546;0.35300000000000004;0.3261;0.38120000000000004;0.39480000000000004;0.4581;0.406;0.39530000000000004;0.32180000000000003;0.25680000000000003
6.072202982;-73.53882747;1788.0;1421.0;0.0258;0.0247;0.0545;0.0386;0.101;0.2515;0.3014;0.37020000000000003;0.3543;0.3083;0.22160000000000002;0.1101
6.072202982;-73.53252747;1858.0;1421.0;0.027200000000000002;0.0317;0.0596;0.0437;0.0931;0.22590000000000002;0.2762;0.30720000000000003;0.3111;0.2952;0.1935;0.0937
6.072202982;-73.48842747;2346.0;1420.0;0.0108;0.0146;0.0373;0.022600000000000002;0.0666;0.2313;0.2964;0.3135;0.3367;0.29810000000000003;0.1381;0.0591
6.072202982;-73.47582747;2485.0;1419.0;0.0086;0.01;0.035300000000000005;0.022600000000000002;0.0653;0.227;0.2844;0.3254;0.3269;0.29810000000000003;0.1453;0.0626
6.072202982;-73.46952747;2555.0;1419.0;0.0143;0.0179;0.0431;0.035500000000000004;0.0845;0.165;0.1889;0.20040000000000002;0.21230000000000002;0.2338;0.1663;0.0839
6.072202982;-73.46322747;2625.0;1419.0;0.019;0.0256;0.0516;0.048400000000000006;0.08650000000000001;0.20400000000000001;0.2457;0.23370000000000002;0.2766;0.32170000000000004;0.1792;0.0955
6.072202982;-73.45692747;2694.0;1419.0;0.0132;0.018600000000000002;0.040400000000000005;0.0332;0.06770000000000001;0.17420000000000002;0.21450000000000002;0.20950000000000002;0.24050000000000002;0.24700000000000003;0.13390000000000002;0.060500000000000005
6.072202982;-73.45062747;2764.0;1418.0;0.035;0.0443;0.0732;0.08080000000000001;0.1246;0.1943;0.2179;0.23820000000000002;0.2495;0.2511;0.2805;0.1777
6.078502982;-73.62702747;811.0;1354.0;0.0373;0.0287;0.0538;0.0386;0.097;0.2381;0.3105;0.3079;0.3393;0.3708;0.2082;0.1081
6.078502982;-73.62072747;881.0;1354.0;0.0669;0.0436;0.0557;0.048100000000000004;0.06720000000000001;0.127;0.1563;0.1665;0.1676;0.197;0.09190000000000001;0.052000000000000005
6.078502982;-73.53252747;1857.0;1351.0;0.0309;0.0376;0.0736;0.052000000000000005;0.1037;0.25520000000000004;0.3023;0.3204;0.3332;0.3174;0.18480000000000002;0.0852
6.078502982;-73.52622747;1927.0;1351.0;0.0281;0.0414;0.0738;0.0558;0.10600000000000001;0.2551;0.3018;0.3111;0.3306;0.3306;0.1877;0.0889
6.078502982;-73.48842747;2345.0;1350.0;0.0216;0.0284;0.055200000000000006;0.0436;0.08900000000000001;0.19870000000000002;0.2446;0.24980000000000002;0.2711;0.2792;0.17800000000000002;0.098
6.078502982;-73.47582747;2485.0;1349.0;0.013900000000000001;0.0195;0.047900000000000005;0.0347;0.08320000000000001;0.2255;0.2801;0.2619;0.2933;0.27080000000000004;0.16870000000000002;0.08170000000000001
6.078502982;-73.46952747;2555.0;1349.0;0.0134;0.0273;0.0543;0.0455;0.0892;0.1995;0.2421;0.2505;0.2555;0.3173;0.1847;0.1012
6.078502982;-73.46322747;2624.0;1349.0;0.0086;0.011000000000000001;0.035;0.020300000000000002;0.06330000000000001;0.22710000000000002;0.2897;0.3265;0.3126;0.32380000000000003;0.13770000000000002;0.058800000000000005
